SAMN02369566	SRR1004295
SAMN02568927	SRR1952228
SAMN04455065	SRR3141995
SAMN04455066	SRR3141996
SAMN04455063	SRR3141993
SAMN04455064	SRR3141994
SAMN04455061	SRR3141991
SAMN04455062	SRR3141992
SAMN04455060	SRR3141990
SAMN02251319	SRR934939
SAMN02251318	SRR934944
SAMN02251317	SRR934945
SAMN02251314	SRR934812
SAMN02251313	SRR934947
SAMN02251311	SRR934904
SAMN04455070	SRR3142000
SAMN02568930	SRR1952231
SAMN04565538	SRR3233958
SAMN02251329	SRR934926
SAMN02251323	SRR934892
SAMN02251322	SRR934933
SAMN02251321	SRR934898
SAMN04565533	SRR3233953
SAMN04565548	SRR3233998
SAMN02251339	SRR934929
SAMN00744893	SRR359291
SAMN02251337	SRR934935
SAMN00744892	SRR359290
SAMN02251334	SRR934934
SAMN02251333	SRR934943
SAMN04565543	SRR3233963
SAMN02251331	SRR934921
SAMN02251330	SRR934923
SAMN02251349	SRR934977
SAMN02251348	SRR934927
SAMN02251347	SRR934931
SAMN02251346	SRR934980
SAMN02251342	SRR934972
SAMN02251340	SRR934932
SAMN02251359	SRR934962
SAMN02251358	SRR934928
SAMN02251356	SRR934965
SAMN02251355	SRR934960
SAMN02251353	SRR934963
SAMN02251352	SRR934971
SAMN02251351	SRR934974
SAMN02251350	SRR934924
SAMN07191139	SRR5643558
SAMN07191141	SRR5643556
SAMN07191130	SRR5643565
SAMN07191146	SRR5643551
SAMN01983956	SRR786614
SAMN01983957	SRR786615
SAMN01983958	SRR786616
SAMN01983959	SRR786617
SAMN01983967	SRR786625
SAMN01983968	SRR786626
SAMN01983965	SRR786623
SAMN01983963	SRR786621
SAMN01983964	SRR786622
SAMN01983961	SRR786619
SAMN01983962	SRR786620
SAMN01983969	SRR786627
SAMN01983960	SRR786618
SAMN05163565	SRR3627947
SAMN05163564	SRR3627959
SAMN05163563	SRR3627937
SAMN05163568	SRR3627961
SAMN05163567	SRR3627960
SAMN05163562	SRR3627958
SAMN05163561	SRR3627957
SAMN05163560	SRR3627956
SAMN05163555	SRR3627951
SAMN05163559	SRR3627955
SAMN05163558	SRR3627954
SAMN05163557	SRR3627953
SAMN05163556	SRR3627952
SAMN02731373	SRR2071345
SAMN02906829	SRR1510131
SAMN00710334	SRR332171
SAMEA2145743	ERR315455
SAMN04209682	SRR2815966
SAMEA2154665	ERR315432
SAMN04209673	SRR2815957
SAMN04209676	SRR2815960
SAMN04209678	SRR2815962
SAMN03279799	SRR1747160
SAMN03279798	SRR1747163
SAMN03279797	SRR1747156
SAMN02251127	SRR934985
SAMN02251125	SRR934982
SAMN02251123	SRR934798
SAMN02251121	SRR934799
SAMN02251120	SRR934797
SAMN02251138	SRR934954
SAMN02251136	SRR934951
SAMN02251135	SRR934952
SAMN02251134	SRR934953
SAMN02251133	SRR934981
SAMN02251132	SRR934989
SAMN02251131	SRR934986
SAMN02251130	SRR934983
SAMN02251148	SRR934900
SAMN02251147	SRR934907
SAMN02251145	SRR934902
SAMN02251143	SRR934913
SAMN02251142	SRR934914
SAMN02251141	SRR934955
SAMN02251158	SRR934888
SAMN02251153	SRR934836
SAMN02251151	SRR934915
SAMN02251150	SRR934911
SAMN02251168	SRR934846
SAMN02251166	SRR934852
SAMN02251164	SRR934849
SAMN02251163	SRR934838
SAMN02251161	SRR934802
SAMN02251178	SRR934897
SAMN02251177	SRR934841
SAMN02251176	SRR934817
SAMN02251175	SRR934845
SAMN02251174	SRR934811
SAMN02251172	SRR934842
SAMN02251171	SRR934839
SAMN02251187	SRR934822
SAMN02251186	SRR934856
SAMN02251185	SRR934850
SAMN02251184	SRR934840
SAMN02251183	SRR934819
SAMN02251181	SRR934853
SAMN02251180	SRR934844
SAMN02251198	SRR934753
SAMN02251197	SRR934806
SAMN02251194	SRR934744
SAMN02251191	SRR934813
SAMN02251190	SRR934747
SAMEA2300339	ERR409745
SAMEA2300338	ERR409744
SAMN02378282	SRR1057966
SAMN02378281	SRR1057965
SAMN02378285	SRR1057969
SAMN02378278	SRR1057960
SAMN02251108	SRR934784
SAMN02251107	SRR934782
SAMN02251106	SRR934785
SAMN02251104	SRR934786
SAMN02251101	SRR934779
SAMN02251100	SRR934775
SAMN02251119	SRR934792
SAMN02251117	SRR934793
SAMN02251116	SRR934796
SAMN02251115	SRR934794
SAMN02251110	SRR934788
SAMN04941038	SRR3477513
SAMN04941046	SRR3477522
SAMN04941047	SRR3477523
SAMN03279810	SRR1747191
SAMN03279817	SRR1747148
SAMN03279819	SRR1747206
SAMN03279814	SRR1747170
SAMN03279813	SRR1747153
SAMN03279816	SRR1747184
SAMN03279815	SRR1747173
SAMN03279801	SRR1747151
SAMN03279800	SRR1747209
SAMN03279807	SRR1747205
SAMN03279806	SRR1747143
SAMN03279808	SRR1747175
SAMN03279803	SRR1747146
SAMN03279802	SRR1747171
SAMN03279805	SRR1747203
SAMN03279804	SRR1747154
SAMN03279831	SRR1747168
SAMN03279833	SRR1747185
SAMN03279830	SRR1747202
SAMN03279836	SRR1747210
