R5609	Br1947
SRR5589338	0_UMARY-55_UMARY-55
SRR5588915	0_SH-07-28_SH-07-28
SRR5589200	0_UMARY-1823_UMARY-1823
SRR5589292	0_UMARY-4848_UMARY-4848
SRR5589296	0_UMARY_4903
SRR5589307	0_UMARY-5077_UMARY-5077
SRR5589087	0_UMARY_1134
SRR5588950	0_SH-96-30_SH-96-30
SRR5605681	0_UMARY-1378_UMARY-1378
SRR5589100	0_UMARY_1206
SRR5589180	0_UMARY_1652
SRR5589139	0_UMARY-1461_UMARY-1461
SRR5588946	0_SH-95-26_SH-95-26
SRR5605692	0_UMARY-1539_UMARY-1539
SRR5588952	0_SH-96-35_SH-96-35
SRR5589201	0_UMARY_1825
SRR5589119	0_UMARY-1362_UMARY-1362
SRR5589105	0_UMARY-1266_UMARY-1266
SRR5589262	0_UMARY_4640
SRR5589115	0_UMARY_1326
SRR5589159	0_UMARY_1544
SRR5605665	0_BLSA_2066
SRR5589319	0_UMARY-5114_UMARY-5114
SRR5589134	0_UMARY_1454
SRR5588887	0_SH-01-31_SH-01-31
SRR5589094	0_UMARY_1136
SRR5589343	0_UMARY-630_UMARY-630
SRR5588935	0_SH-92-14_SH-92-14
SRR5589235	0_UMARY-240_UMARY-240
SRR5605674	0_UMARY-1259_UMARY-1259
SRR5589130	0_UMARY-1429_UMARY-1429
SRR5588894	0_SH-04-05_SH-04-05
SRR5589341	0_UMARY_604
SRR5589352	0_UMARY-72_UMARY-72
SRR5588912	0_SH-07-04_SH-07-04
SRR5589308	0_UMARY-5077_UMARY-5077
SRR5589195	0_UMARY-1796_UMARY-1796
SRR5588980	0_SH-99-54_SH-99-54
SRR5589320	0_UMARY-5116_UMARY-5116
SRR5589346	0_UMARY-650_UMARY-650
SRR5588919	0_SH-07-46_SH-07-46
SRR5589070	0_UMARY_1078
SRR5589301	0_UMARY_4916
SRR5589303	0_UMARY_5024
SRR5589363	0_UMARY_914
SRR5589206	0_UMARY-1843_UMARY-1843
SRR5589327	0_UMARY-5120_UMARY-5120
SRR5589222	0_UMARY_1866
SRR5589190	0_UMARY-177_UMARY-177
SRR5589240	0_UMARY-26_UMARY-26
SRR5589109	0_UMARY-1279_UMARY-1279
SRR5589288	0_UMARY_4789
SRR5589069	0_UMARY_1076
SRR5589174	0_UMARY-1609_UMARY-1609
SRR5589283	0_UMARY-4735_UMARY-4735
SRR5588931	0_SH-92-05_SH-92-05
SRR5589116	0_UMARY_1326
SRR5605709	0_UMARY_4540
SRR5589137	0_UMARY-1461_UMARY-1461
SRR5589236	0_UMARY-251_UMARY-251
SRR5589273	0_UMARY_4725
SRR5588917	0_SH-07-28_SH-07-28
SRR5589291	0_UMARY-4848_UMARY-4848
SRR5589305	0_UMARY_5028
SRR5589169	0_UMARY-1573_UMARY-1573
SRR5589295	0_UMARY_4903
SRR5589260	0_UMARY_4636
SRR5589114	0_UMARY-1323_UMARY-1323
SRR5589317	0_UMARY-5088_UMARY-5088
SRR5589266	0_UMARY-4669_UMARY-4669
SRR5605725	0_UMARY-5179_UMARY-5179
SRR5589331	0_UMARY-5171_UMARY-5171
SRR5589138	0_UMARY-1461_UMARY-1461
SRR5589127	0_UMARY-1406_UMARY-1406
SRR5588884	0_SH-00-38_SH-00-38
SRR5588925	0_SH-08-04_SH-08-04
SRR5589304	0_UMARY_5028
SRR5589211	0_UMARY_1847
SRR5588909	0_SH-06-25_SH-06-25
SRR5589339	0_UMARY_602
SRR5589219	0_UMARY_1862
SRR5589126	0_UMARY-1406_UMARY-1406
SRR5588916	0_SH-07-28_SH-07-28
SRR5589182	0_UMARY_1668
SRR5605722	0_UMARY-5120_UMARY-5120
SRR5589153	0_UMARY-1539_UMARY-1539
SRR5588893	0_SH-04-05_SH-04-05
SRR5588941	0_SH-95-02_SH-95-02
SRR5589302	0_UMARY_4924
SRR5589196	0_UMARY_1797
SRR5588906	0_SH-06-05_SH-06-05
SRR5589355	0_UMARY_813
SRR5605679	0_UMARY-1323_UMARY-1323
SRR5589172	0_UMARY-1607_UMARY-1607
SRR5589289	0_UMARY_4789
SRR5605705	0_UMARY-260_UMARY-260
SRR5589140	0_UMARY-1461_UMARY-1461
SRR5588936	0_SH-92-32_SH-92-32
SRR5589328	0_UMARY-5120_UMARY-5120
SRR5589364	0_UMARY_933
SRR5588958	0_SH-97-14_SH-97-14
SRR5589356	0_UMARY-818_UMARY-818
SRR5588981	0_SH-99-54_SH-99-54
SRR5589187	0_UMARY_1710
SRR5589197	0_UMARY-1818_UMARY-1818
SRR5589173	0_UMARY-1609_UMARY-1609
SRR5589186	0_UMARY-1675_UMARY-1675
SRR5589279	0_UMARY_4729
SRR5589297	0_UMARY-4906_UMARY-4906
SRR5589275	0_UMARY_4726
SRR5589145	0_UMARY_1486
SRR5588899	0_SH-04-19_SH-04-19
SRR5588972	0_SH-99-14_SH-99-14
SRR5605723	0_UMARY-5123_UMARY-5123
SRR5589233	0_UMARY_1917
SRR5589246	0_UMARY-4228_UMARY-4228
SRR5589335	0_UMARY-544_UMARY-544
SRR5589198	0_UMARY-1823_UMARY-1823
SRR5588897	0_SH-04-19_SH-04-19
SRR5605666	0_JHU_384
SRR5589168	0_UMARY_1571
SRR5589072	0_UMARY_1078
SRR5605728	0_UMARY-634_UMARY-634
SRR5589321	0_UMARY-5116_UMARY-5116
SRR5588962	0_SH-97-37_SH-97-37
SRR5605703	0_UMARY-1861_UMARY-1861
SRR5588969	0_SH-98-27_SH-98-27
SRR5589342	0_UMARY_604
SRR5589112	0_UMARY-1322_UMARY-1322
SRR5605711	0_UMARY-4591_UMARY-4591
SRR5589176	0_UMARY_1648
SRR5589183	0_UMARY-1672_UMARY-1672
SRR5589255	0_UMARY_4549
SRR5589238	0_UMARY-260_UMARY-260
SRR5605689	0_UMARY-1461_UMARY-1461
SRR5589076	0_UMARY_1079
SRR5588883	0_SH-00-34_SH-00-34
SRR5589234	0_UMARY_1935
SRR5589350	0_UMARY-72_UMARY-72
SRR5589323	0_UMARY-5117_UMARY-5117
SRR5588895	0_SH-04-05_SH-04-05
SRR5589208	0_UMARY-1845_UMARY-1845
SRR5588924	0_SH-08-04_SH-08-04
SRR5589284	0_UMARY-4735_UMARY-4735
SRR5605691	0_UMARY-1475_UMARY-1475
SRR5589242	0_UMARY-26_UMARY-26
SRR5605675	0_UMARY-1266_UMARY-1266
SRR5589282	0_UMARY-4735_UMARY-4735
SRR5589330	0_UMARY-5171_UMARY-5171
SRR5589074	0_UMARY_1079
SRR5589311	0_UMARY_5086
125_120419	SM-CJIXR
929_131031	SM-CTEFE
683_120604	SM-CJFPE
234_120425	SM-CJGLZ
958_131107	SM-CJJ1N
83_120417	SM-CTEI7
23_120411	SM-CTEGS
862_130911	SM-CJIZT
608_120523	SM-CJK4I
663_120530	SM-CTEN7
77_120417	SM-CJGNM
279_120430	SM-CJEJP
684_120604	SM-CJJ1E
170_120423	SM-CJEI6
927_131031	SM-CTDRO
796_130701	SM-CJEG9
695_120605	SM-CJFOQ
203_120424	SM-CJIY9
152_120419	SM-CTDRC
664_120530	SM-CJGM3
689_120604	SM-CTEEF
625_120524	SM-CJEK5
394_120503	SM-CJGNS
130_120419	SM-CJK3P
251_120426	SM-CJEHK
610_120523	SM-CTEM5
707_120531	SM-CJFP4
539_120516	SM-CJGIR
366_120502	ROS20945666
347_120501	SM-CTDRD
329_120501	SM-CTDTP
425_120507	SM-CJGJ7
677_120604	SM-CJIY6
340_120501	SM-CJGIB
586_120522	SM-CJIZR
257_120426	SM-CJFNY
82_120417	SM-CTDTZ
554_120517	SM-CJGI9
899_131010	SM-CTEEA
393_120503	SM-CJK42
630_120524	MAP15387421
865_130911	SM-CJGMS
937_131101	SM-CJIZY
522_120515	SM-CTEFJ
434_120507	SM-CJEGX
258_120426	SM-CTDQR
108_120418	SM-CTEI5
351_120501	SM-CTEG5
637_120524	SM-CTED9
549_120517	SM-CTEND
724_120605	SM-CJEJM
934_131101	SM-CJIZZ
445_120507	SM-CJGIN
555_120517	SM-CJJ1P
37_120416	SM-CJGHN
284_120430	SM-CJGGZ
654_120529	SM-CJK4J
277_120430	SM-CTDQT
443_120507	SM-CTDR3
121_120418	ROS15114174
122_120418	SM-CTDTI
632_120524	SM-CJGI8
569_120521	SM-CJEJS
675_120604	SM-CTEDG
408_120503	SM-CJGNC
403_120503	SM-CJEJ5
438_120507	SM-CJIXM
310_120430	SM-CJGM5
606_120523	SM-CTED5
619_120524	SM-CJGHQ
561_120517	SM-CTEGV
641_120524	SM-CJGLM
266_120430	SM-CJK4Z
534_120516	SM-CJGNK
803_130701	ROS79590778
383_120503	SM-CTEDU
704_120605	SM-CJJ1C
287_120430	SM-CTDRH
523_120515	SM-CJFN9
227_120425	SM-CJGGQ
367_120502	SM-CTDR7
191_120424	SM-CJK5B
437_120507	SM-CTDQJ
200_120424	SM-CJEGH
433_120507	SM-CTEIC
516_120515	SM-CJK5G
290_120430	SM-CTDSD
153_120423	SM-CTDRB
232_120425	SM-CTEIP
593_120522	SM-CTEMN
562_120517	SM-CTEG9
322_120501	SM-CJEG1
577_120521	SM-CJIXO
483_120515	SM-CTEE5
448_120507	SM-CTEFD
763_130520	SM-CJJ26
543_120516	SM-CTENG
486_120515	SM-CTEFT
371_120502	SM-CTDSN
372_120502	SM-CJIYI
116_120418	SM-CJGGP
75_120417	SM-CTECV
497_120515	SM-CJEJK
419_120507	SM-CTDR1
926_131031	SM-CTDU9
521_120515	SM-CJIXJ
532_120516	SM-CJK4R
932_131101	SM-CJGI1
131_120419	SM-CJK4Q
482_120514	SM-CJIZK
464_120514	SM-CJGH2
950_131107	SM-CJJ1F
312_120430	SM-CJJ2X
349_120501	SM-CJEIO
607_120523	SM-CJEKL
710_120531	SM-CJFO3
66_120417	SM-CJIXC
618_120524	SM-CJFN8
685_120604	MAP50108462
176_120424	SM-CJEGP
924_131031	SM-CJEJT
895_130923	SM-CTED8
871_130911	SM-CJEKF
215_120425	SM-CJGM7
495_120515	SM-CJEG4
471_120514	SM-CTDQF
799_130701	SM-CJFNV
430_120507	SM-CJEHE
572_120521	SM-CTDSY
165_120423	SM-CJIWW
648_120529	SM-CJIWU
74_120417	SM-CJIXI
315_120501	SM-CJIXG
536_120516	SM-CJEFS
691_120605	SM-CJGMZ
298_120430	SM-CJIY8
214_120425	SM-CJIYK
101_120418	SM-CTDRM
243_120426	SM-CTDQV
582_120521	SM-CJGGK
155_120423	SM-CJIXZ
792_130530	SM-CTED1
563_120517	SM-CTDQP
507_120515	SM-CJK5C
578_120521	SM-CTDU8
316_120501	SM-CTDTL
846_130830	SM-CTED3
790_130530	SM-CJJ2O
588_120522	SM-CJJ18
103_120418	SM-CTEDO
345_120501	SM-CTDR9
547_120516	SM-CJIX5
936_131101	SM-CJJ1D
600_120523	SM-CJK3I
173_120424	SM-CJK5Q
166_120423	ROS20275399
767_130523	SM-CJJ27
385_120503	MAP61344957
697_120605	SM-CJEJO
472_120514	SM-CJGGW
508_120515	SM-CJFPF
513_120515	SM-CTDV1
626_120524	SM-CJK3B
474_120514	SM-CJGLE
492_120515	SM-CJJ1R
359_120502	SM-CJK51
164_120423	SM-CTEMY
207_120424	SM-CJIXK
19_120411	SM-CJIXU
694_120605	SM-CJIYV
119_120418	SM-CTEE6
679_120604	SM-CJK52
498_120515	SM-CJIZS
473_120514	SM-CTEGR
285_120430	SM-CTDTY
381_120503	SM-CTEEC
69_120417	SM-CTDSR
469_120514	SM-CJGHF
478_120514	SM-CJK5D
540_120516	SM-CTDTH
770_130523	SM-CJJ2M
231_120425	SM-CTDQU
681_120604	SM-CJGIS
894_130923	SM-CTECR
537_120516	SM-CTDQO
413_120503	SM-CJIYA
134_120419	SM-CTDSF
528_120515	SM-CTEDA
410_120503	SM-CTEEB
591_120522	SM-CJK46
81_120417	SM-CJGH9
603_120523	SM-CJEHP
510_120515	SM-CTDS5
711_120531	SM-CJGLP
29_120416	SM-CJGGO
520_120515	SM-CTEMS
604_120523	SM-CJEIL
145_120419	SM-CJGGY
407_120503	SM-CJIYZ
412_120503	SM-CJGHD
809_130702	SM-CJJ23
450_120507	SM-CJEHM
415_120503	SM-CTDQK
252_120426	SM-CJIY5
660_120530	SM-CTEEU
142_120419	SM-CTDRJ
633_120524	SM-CJGHX
706_120605	SM-CJJ31
833_130729	SM-CTEGG
494_120515	SM-CJIY7
28_120411	SM-CTDTF
881_130918	SM-CJFOR
88_120417	SM-CTEFK
515_120515	SM-CTDU2
222_120425	SM-CJIYC
274_120430	MAP50301099
46_120416	SM-CJK59
541_120516	SM-CJGLJ
120_120418	SM-CJGIJ
614_120523	SM-CJEIB
553_120517	SM-CJGNX
491_120515	SM-CTDT1
575_120521	SM-CTDQQ
399_120503	SM-CJGIX
334_120501	SM-CTDSK
665_120530	SM-CJFOP
461_120514	SM-CTDQG
444_120507	SM-CJGHE
300_120430	SM-CJGJ3
893_130923	SM-CTEGH
587_120522	ROS21274866
78_120417	SM-CJGHG
440_120507	SM-CJGNL
111_120418	SM-CJK5I
302_120430	MAP89164957
460_120514	SM-CTEG8
68_120417	SM-CJEJ2
185_120424	SM-CTDTW
821_130725	SM-CJFNM
94_120417	SM-CJK5A
708_120531	SM-CTEDZ
113_120418	SM-CTDTV
294_120430	SM-CJGNE
820_130725	SM-CJJ2J
52_120416	SM-CJGGS
171_120423	SM-CJIX4
344_120501	SM-CJGH1
847_130830	SM-CTEEY
24_120411	SM-CJGHJ
269_120430	SM-CJGLU
228_120425	SM-CJK4X
196_120424	SM-CJEJ6
70_120417	SM-CJGH7
336_120501	SM-CTEDS
391_120503	SM-CJGM9
51_120416	SM-CJGGT
168_120423	SM-CJJ1K
289_120430	SM-CJGI5
150_120419	SM-CTDU4
485_120515	SM-CTDQZ
702_120605	SM-CTEFA
180_120424	SM-CTELS
721_120531	SM-CJJ2T
141_120419	SM-CJGGN
221_120425	SM-CJIYW
583_120522	SM-CJIZO
826_130725	SM-CJIZV
722_120531	SM-CJFMV
05_120405	SM-CJIXW
306_120430	SM-CJGIY
229_120425	SM-CJEHD
769_130523	SM-CJJ2D
54_120417	SM-CJK3L
538_120516	SM-CJGIG
323_120501	ROS11430815
183_120424	SM-CJGM4
481_120514	SM-CJGJ4
244_120426	SM-CTDQX
687_120604	SM-CTEMK
479_120514	SM-CJJ1L
511_120515	SM-CTDS4
560_120517	SM-CJGN7
335_120501	ROS21112011
643_120524	SM-CJJ32
476_120514	SM-CJIWY
574_120521	SM-CJGH8
674_120530	SM-CJFOI
698_120605	SM-CTEMW
952_131107	SM-CJGML
255_120426	SM-CJK4V
429_120507	SM-CJEH6
653_120529	SM-CJJ38
146_120419	SM-CJK3O
245_120426	SM-CJGIQ
276_120430	SM-CJIXY
414_120503	SM-CJIYH
580_120521	SM-CJGHB
636_120524	SM-CJEGA
33_120416	SM-CTEDC
57_120417	SM-CTEFO
787_130530	SM-CJJ1M
140_120419	SM-CJEIH
237_120426	SM-CJGO3
889_130923	SM-CJK4A
179_120424	SM-CTDRN
810_130702	SM-CJJ2H
321_120501	SM-CTEGO
812_130702	SM-CJJ2B
949_131107	SM-CJEKG
715_120531	SM-CJFON
389_120503	SM-CTDQH
64_120417	SM-CTDTS
339_120501	SM-CTEET
405_120503	MAP46251007
657_120529	SM-CTDT2
671_120530	SM-CJEGB
557_120517	SM-CJK5F
360_120502	SM-CTDTG
190_120424	SM-CTEEZ
53_120417	SM-CJFNB
396_120503	SM-CTDTN
390_120503	SM-CJIYG
20_120411	SM-CJGII
463_120514	SM-CTDQE
40_120416	SM-CTDSG
458_120507	SM-CJGJ1
567_120521	SM-CTDT8
613_120523	SM-CJGID
565_120517	SM-CJGNJ
314_120501	SM-CTEIL
501_120515	SM-CJGGR
861_130911	SM-CJEK3
328_120501	SM-CJK3J
900_131010	SM-CJEIM
477_120514	SM-CJK3S
38_120416	SM-CTEG7
281_120430	SM-CTDSO
378_120503	ROS21001807
943_131101	SM-CTDUH
468_120514	SM-CJGMX
524_120515	SM-CTEN5
834_130729	SM-CJGMH
102_120418	SM-CJFN6
291_120430	SM-CJGLS
545_120516	SM-CJEJ4
411_120503	SM-CJJ1H
938_131101	SM-CJFOS
505_120515	SM-CTEN2
944_131107	SM-CJEGI
206_120424	SM-CJGNQ
517_120515	SM-CJIZP
187_120424	SM-CTEM6
768_130523	SM-CJJ28
76_120417	SM-CJK45
638_120524	SM-CJEHU
699_120605	SM-CJK55
89_120417	SM-CJIYE
159_120423	SM-CJGLF
112_120418	SM-CJIZI
303_120430	SM-CJGGM
531_120516	SM-CTDQN
629_120524	SM-CJEI5
197_120424	SM-CJGIA
775_130528	SM-CJGMQ
240_120426	SM-CJGNI
30_120416	SM-CJGLI
807_130701	SM-CJJ2N
273_120430	SM-CTEGM
815_130702	SM-CJEG8
466_120514	SM-CTDQY
946_131107	SM-CTDUP
427_120507	SM-CJFP6
136_120419	SM-CJGJ9
620_120524	SM-CTECF
571_120521	SM-CJGIE
452_120507	SM-CTEMG
550_120517	SM-CTENE
628_120524	SM-CTECT
451_120507	SM-CTDR2
R24_131017	SM-CJIXB
576_120521	SM-CTENF
182_120424	SM-CTDT7
551_120517	SM-CTEFZ
280_120430	SM-CJK4C
431_120507	SM-CJEFX
248_120426	SM-CTEFM
716_120531	SM-CJGIL
693_120605	SM-CTECL
700_120605	SM-CTEDW
259_120426	SM-CTDSB
402_120503	SM-CTDQM
375_120502	SM-CTDSL
36_120416	SM-CJEGR
945_131107	SM-CJIZX
781_130528	SM-CTDTE
666_120530	SM-CJFOH
386_120503	SM-CJGHH
882_130918	SM-CTEEM
844_130830	SM-CJGN4
65_120417	SM-CTDSW
253_120426	SM-CTDSC
72_120417	SM-CJIZJ
213_120425	SM-CJEJR
568_120521	SM-CJFN3
124_120419	SM-CTEDN
392_120503	SM-CJFNJ
350_120501	SM-CTDSJ
703_120605	SM-CJEJJ
778_130528	SM-CJGMK
791_130530	SM-CJJ1Z
299_120430	SM-CJJ2V
236_120425	SM-CTEFP
887_130923	SM-CTEGD
475_120514	SM-CTDR5
369_120502	SM-CTDTM
533_120516	SM-CJJ1S
506_120515	SM-CJGJ5
805_130701	SM-CJJ2P
292_120430	SM-CJGNP
354_120501	SM-CJIWS
15_120410	SM-CJFNR
420_120507	SM-CTDR6
616_120524	SM-CJFNK
631_120524	SM-CJEIE
133_120419	SM-CJIYM
500_120515	SM-CJGIH
redo4_140501	SM-CJJ2G
149_120419	SM-CJGHV
388_120503	SM-CJK5K
957_131107	SM-CJGMJ
370_120502	SM-CJGHY
905_131010	SM-CTED2
128_120419	ROS15738428
193_120424	SM-CJGGV
646_120524	SM-CJJ34
358_120502	SM-CJGLV
162_120423	SM-CTEE3
956_131107	SM-CJGMR
594_120522	SM-CJEIA
73_120417	SM-CJK4H
238_120426	SM-CJK4W
951_131107	SM-CTEGW
26_120411	SM-CJGHI
406_120503	SM-CTEIR
318_120501	SM-CJIWV
384_120503	SM-CJEKA
885_130923	SM-CJIYX
602_120523	SM-CJIXP
260_120426	SM-CTEFQ
353_120501	SM-CTEFH
884_130923	SM-CTEFB
270_120430	SM-CJGHS
720_120531	SM-CTEDP
718_120531	SM-CTDS6
44_120416	SM-CJEI3
939_131101	SM-CJFP7
416_120503	SM-CTDR4
241_120426	SM-CTDQW
845_130830	SM-CTECI
01_120405	SM-CTEFX
35_120416	SM-CJEH2
496_120515	SM-CJEFQ
590_120522	SM-CJEK6
21_120411	SM-CTDTR
307_120430	SM-CTDU1
96_120417	SM-CJGHO
676_120604	SM-CJGNT
363_120502	MAP50104134
56_120417	SM-CJGN9
705_120605	SM-CTECQ
219_120425	SM-CJIZH
12_120410	SM-CJGN1
879_130918	SM-CTEG4
331_120501	SM-CTDRE
368_120502	SM-CJGGU
326_120501	MAP50106992
595_120522	SM-CJFO7
668_120530	SM-CJFOF
177_120424	SM-CJGIW
355_120501	SM-CTDSP
680_120604	SM-CJGLH
493_120515	SM-CJGI4
909_131031	SM-CJGMU
911_131031	SM-CTEFL
453_120507	SM-CJGJ2
426_120507	SM-CJK5J
509_120515	SM-CTDTA
813_130702	SM-CTDTO
811_130702	SM-CJEH3
647_120529	SM-CJEG3
188_120424	SM-CTEE4
34_120416	MAP50104846
525_120515	SM-CTEEG
573_120521	SM-CJEJA
589_120522	SM-CJEK7
25_120411	SM-CJK3C
364_120502	SM-CTDSI
160_120423	SM-CTDRF
100_120417	SM-CTDST
605_120523	MAP46246604
332_120501	SM-CJIX6
93_120417	SM-CJGNF
489_120515	SM-CTDRI
776_130528	SM-CJJ2F
327_120501	SM-CJK5E
60_120417	SM-CJK58
599_120523	SM-CJFN5
309_120430	SM-CTDR8
271_120430	SM-CJGIT
398_120503	SM-CJEJG
635_120524	SM-CTEMU
617_120524	SM-CJGJ8
132_120419	SM-CJEIN
709_120531	SM-CJJ2U
224_120425	SM-CTDQI
672_120530	SM-CJJ35
462_120514	SM-CJGLD
876_130918	SM-CJGMO
487_120515	SM-CJGLT
428_120507	SM-CJGNN
656_120529	SM-CJFNF
670_120530	SM-CJJ2Z
484_120515	SM-CTEGQ
690_120604	SM-CTEER
682_120604	SM-CJK3D
254_120426	SM-CTDRG
256_120426	SM-CJIZ5
644_120524	SM-CJK3X
797_130701	SM-CJFNS
267_120430	SM-CJGIM
548_120516	SM-CTDTQ
79_120417	ROS20998065
824_130725	SM-CJFNL
669_120530	SM-CJGMV
174_120424	SM-CTEMM
283_120430	SM-CTEDQ
02_120405	SM-CJIWX
218_120425	SM-CTDTX
581_120521	SM-CJIYF
204_120424	SM-CJIWT
212_120424	SM-CJK4M
118_120418	SM-CJK4S
325_120501	SM-CJIY1
97_120417	SM-CTEGF
649_120529	SM-CTDS7
935_131101	MAP50106442
564_120517	SM-CJGLG
11_120410	SM-CTDTJ
337_120501	SM-CTDRA
470_120514	SM-CJEHR
662_120530	SM-CJEIU
250_120426	SM-CJGNZ
678_120604	SM-CJIZL
502_120515	SM-CTEMJ
449_120507	SM-CJFO5
456_120507	SM-CTDTK
288_120430	SM-CJIYJ
129_120419	SM-CJEIJ
296_120430	SM-CJEFU
HRA_00064	CGND-HDA-00197-b38
HRA_00215	CGND-HDA-00590-b38
HRA_00587	CGND-HDA-02053
HRA_00321	CGND-HDA-01313-b38
HRA_00083	CGND-HDA-00188-b38
HRA_00218	CGND-HDA-00593-b38
HRA_00086	CGND-HDA-00191-b38
HRA_00681	CGND-HDA-00567-b38
HRA_00439	CGND-HDA-01330-b38
HRA_01213	CGND-HDA-01699
HRA_00430	CGND-HDA-01329-b38
HRA_00222	CGND-HDA-00591-b38
HRA_00615	CGND-HDA-00551-b38
HRA_00351	CGND-HDA-01317-b38
HRA_00668	CGND-HDA-00564-b38
HRA_00363	CGND-HDA-01318-b38
HRA_00616	CGND-HDA-00551-b38
HRA_00559	CGND-HDA-00535-b38
HRA_01258	CGND-HDA-02055
HRA_00068	CGND-HDA-00201-b38
HRA_00633	CGND-HDA-00538-b38
HRA_01239	CGND-HDA-00563-b38
HRA_01186	CGND-HDA-02521
HRA_01212	CGND-HDA-01699
HRA_00397	CGND-HDA-01323-b38
HRA_00013	CGND-HDA-00188-b38
HRA_00423	CGND-HDA-01328-b38
HRA_01204	CGND-HDA-02479
HRA_00220	CGND-HDA-00595-b38
HRA_01218	CGND-HDA-00547-b38
HRA_00213	CGND-HDA-00594-b38
HRA_00607	CGND-HDA-00549-b38
HRA_00436	CGND-HDA-01330-b38
HRA_00020	CGND-HDA-00195-b38
HRA_00308	CGND-HDA-01311-b38
HRA_00405	CGND-HDA-01325-b38
HRA_01248	CGND-HDA-00566-b38
HRA_00393	CGND-HDA-01323-b38
HRA_00578	CGND-HDA-00544-b38
HRA_01242	CGND-HDA-00564-b38
HRA_00370	CGND-HDA-01319-b38
HRA_00536	CGND-HDA-00548-b38
HRA_00328	CGND-HDA-01314-b38
HRA_00139	CGND-HDA-00504-b38
HRA_00305	CGND-HDA-01311-b38
HRA_00612	CGND-HDA-00550-b38
HRA_01255	CGND-HDA-02053
HRA_00304	CGND-HDA-01311-b38
HRA_00637	CGND-HDA-02237
HRA_00594	CGND-HDA-02055
HRA_00564	CGND-HDA-00540-b38
HRA_00216	CGND-HDA-00591-b38
HRA_01232	CGND-HDA-00559-b38
HRA_00093	CGND-HDA-00198-b38
HRA_00650	CGND-HDA-00559-b38
HRA_00603	CGND-HDA-00548-b38
HRA_00084	CGND-HDA-00189-b38
HRA_00527	CGND-HDA-00540-b38
HRA_00134	CGND-HDA-00499-b38
HRA_01243	CGND-HDA-00564-b38
HRA_00529	CGND-HDA-00541-b38
HRA_00347	CGND-HDA-01316-b38
HRA_00296	CGND-HDA-01310-b38
HRA_00569	CGND-HDA-00541-b38
HRA_00221	CGND-HDA-00590-b38
HRA_00350	CGND-HDA-01317-b38
HRA_00316	CGND-HDA-01312-b38
HRA_00651	CGND-HDA-00559-b38
HRA_00373	CGND-HDA-01320-b38
HRA_00015	CGND-HDA-00190-b38
HRA_00586	CGND-HDA-02053
HRA_01220	CGND-HDA-02237
HRA_00320	CGND-HDA-01313-b38
HRA_00193	CGND-HDA-00558-b38
HRA_00421	CGND-HDA-01327-b38
HRA_00557	CGND-HDA-00534-b38
HRA_01261	CGND-HDA-02056
HRA_00342	CGND-HDA-01316-b38
HRA_00301	CGND-HDA-01310-b38
HRA_00546	CGND-HDA-00551-b38
HRA_00382	CGND-HDA-01321-b38
HRA_01236	CGND-HDA-00562-b38
HRA_01208	CGND-HDA-01702
HRA_00124	CGND-HDA-00489-b38
HRA_00575	CGND-HDA-00543-b38
HRA_00663	CGND-HDA-00563-b38
HRA_00624	CGND-HDA-00552-b38
HRA_00654	CGND-HDA-00560-b38
HRA_00362	CGND-HDA-01318-b38
HRA_00358	CGND-HDA-01318-b38
HRA_00214	CGND-HDA-00595-b38
HRA_00016	CGND-HDA-00191-b38
HRA_00026	CGND-HDA-00201-b38
HRA_00367	CGND-HDA-01319-b38
HRA_00019	CGND-HDA-00194-b38
HRA_01251	CGND-HDA-00567-b38
HRA_00562	CGND-HDA-00535-b38
HRA_00313	CGND-HDA-01312-b38
HRA_00085	CGND-HDA-00190-b38
HRA_00369	CGND-HDA-01319-b38
HRA_01264	CGND-HDA-02057
HRA_00025	CGND-HDA-00200-b38
HRA_00540	CGND-HDA-00549-b38
HRA_00021	CGND-HDA-00196-b38
HRA_00550	CGND-HDA-00553-b38
HRA_00582	CGND-HDA-00544-b38
HRA_00745	CGND-HDA-00440-b38
HRA_00334	CGND-HDA-01315-b38
HRA_01254	CGND-HDA-02053
HRA_00560	CGND-HDA-00535-b38
HRA_00435	CGND-HDA-01330-b38
HRA_00412	CGND-HDA-01326-b38
HRA_01187	CGND-HDA-02521
HRA_00022	CGND-HDA-00197-b38
HRA_00224	CGND-HDA-00593-b38
HRA_00057	CGND-HDA-00190-b38
HRA_00014	CGND-HDA-00189-b38
HRA_00638	CGND-HDA-02237
HRA_00324	CGND-HDA-01313-b38
HRA_00543	CGND-HDA-00550-b38
HRA_00669	CGND-HDA-00564-b38
HRA_00547	CGND-HDA-00551-b38
HRA_00212	CGND-HDA-00593-b38
HRA_00387	CGND-HDA-01322-b38
HRA_00571	CGND-HDA-00543-b38
HRA_00388	CGND-HDA-01322-b38
HRA_00023	CGND-HDA-00198-b38
HRA_00526	CGND-HDA-00540-b38
HRA_00087	CGND-HDA-00192-b38
HRA_00600	CGND-HDA-02057
HRA_00056	CGND-HDA-00189-b38
HRA_01267	CGND-HDA-02063
HRA_01222	CGND-HDA-00555-b38
HRA_00403	CGND-HDA-01324-b38
HRA_00574	CGND-HDA-00543-b38
HRA_00346	CGND-HDA-01316-b38
HRA_00017	CGND-HDA-00192-b38
HRA_00160	CGND-HDA-00525-b38
HRA_00596	CGND-HDA-02056
