R5609	Br1947
CMC_HBCC_RNA_PFC_3888	Br2064
CMC_HBCC_RNA_PFC_2983	4584664035_R01C01
CMC_HBCC_RNA_PFC_2945	5421787069_R01C02
CMC_HBCC_RNA_PFC_3883	Br2263
CMC_HBCC_RNA_PFC_3530	3999338099_R04C01
CMC_HBCC_RNA_PFC_2997	4578977116_R01C02
CMC_HBCC_RNA_PFC_3136	4031091107_A
CMC_HBCC_RNA_PFC_2942	5421787071_R01C02
CMC_HBCC_RNA_PFC_3247	3999514126_R01C01
CMC_HBCC_RNA_PFC_3023	4572348878_R01C02
CMC_HBCC_RNA_PFC_3341	4572348878_R01C01
CMC_HBCC_RNA_PFC_3128	4040296074_A
CMC_HBCC_RNA_PFC_3145	4031091011_A
CMC_HBCC_RNA_PFC_3172	Br949
CMC_HBCC_RNA_PFC_3363	4572348702_R01C02
CMC_HBCC_RNA_PFC_3373	Br1905
CMC_HBCC_RNA_PFC_3064	4040296089_A
CMC_HBCC_RNA_PFC_2982	Br963
CMC_HBCC_RNA_PFC_3081	4578977042_R01C01
CMC_HBCC_RNA_PFC_3389	5535522113_R01C01
CMC_HBCC_RNA_PFC_3368	3999495013_R02C01
CMC_HBCC_RNA_PFC_3378	4040296068_A
CMC_HBCC_RNA_PFC_3188	4463344543_R01C02
CMC_HBCC_RNA_PFC_3075	Br2053
CMC_HBCC_RNA_PFC_3918	Br2044
CMC_HBCC_RNA_PFC_3441	Br2285
CMC_HBCC_RNA_PFC_3292	5535522104_R01C01
CMC_HBCC_RNA_PFC_3001	5535522104_R01C02
CMC_HBCC_RNA_PFC_3209	Br1053
CMC_HBCC_RNA_PFC_3891	3999513167_R01C01
CMC_HBCC_RNA_PFC_3045	Br1067
CMC_HBCC_RNA_PFC_3380	4256126197_A
CMC_HBCC_RNA_PFC_3398	4031091005_A
CMC_HBCC_RNA_PFC_3513	3999338092_R01C01
CMC_HBCC_RNA_PFC_3391	4040296095_A
CMC_HBCC_RNA_PFC_2989	4572348402_R01C02
CMC_HBCC_RNA_PFC_2990_2	4578977063_R01C02
CMC_HBCC_RNA_PFC_3500	3999514111_R03C01
CMC_HBCC_RNA_PFC_3048	4572348852_R01C01
CMC_HBCC_RNA_PFC_3107	5535522118_R01C02
CMC_HBCC_RNA_PFC_2955	5421787160_R01C01
CMC_HBCC_RNA_PFC_3905	6051001032_R01C02
CMC_HBCC_RNA_PFC_3360	4256126241_A
CMC_HBCC_RNA_PFC_3158	4040296003_A
CMC_HBCC_RNA_PFC_3377	4256126204_A
